network,country_name,country_name
195.170.180.0/24,Asia,Saudi Arabia
195.182.31.0/24,Asia,Saudi Arabia
195.189.212.0/23,Asia,Saudi Arabia
195.191.6.0/23,Asia,Saudi Arabia
195.238.42.0/24,Asia,Saudi Arabia
195.238.44.0/24,Asia,Saudi Arabia
195.238.48.0/23,Asia,Saudi Arabia
195.238.50.0/24,Asia,Saudi Arabia
195.238.55.0/24,Asia,Saudi Arabia
195.238.56.0/24,Asia,Saudi Arabia
195.238.58.0/24,Asia,Saudi Arabia
195.242.188.0/24,Asia,Saudi Arabia
195.242.196.0/22,Asia,Saudi Arabia
195.246.104.0/23,Asia,Saudi Arabia
196.1.3.0/24,Asia,Saudi Arabia
196.1.6.0/24,Asia,Saudi Arabia
196.1.64.0/22,Asia,Saudi Arabia
196.3.66.0/24,Asia,Saudi Arabia
196.15.32.0/19,Asia,Saudi Arabia
198.11.0.0/22,Asia,Saudi Arabia
198.36.32.0/21,Asia,Saudi Arabia
198.36.40.0/22,Asia,Saudi Arabia
198.36.44.0/23,Asia,Saudi Arabia
198.36.46.0/24,Asia,Saudi Arabia
198.51.12.0/24,Asia,Saudi Arabia
208.48.201.0/24,Asia,Saudi Arabia
210.5.229.0/24,Asia,Saudi Arabia
212.11.160.0/19,Asia,Saudi Arabia
212.12.160.0/19,Asia,Saudi Arabia
212.24.224.0/19,Asia,Saudi Arabia
212.26.0.0/17,Asia,Saudi Arabia
212.33.160.0/19,Asia,Saudi Arabia
212.46.32.0/19,Asia,Saudi Arabia
212.57.192.0/19,Asia,Saudi Arabia
212.62.96.0/19,Asia,Saudi Arabia
212.70.32.0/19,Asia,Saudi Arabia
212.71.32.0/19,Asia,Saudi Arabia
212.76.64.0/19,Asia,Saudi Arabia
212.93.160.0/19,Asia,Saudi Arabia
212.93.192.0/19,Asia,Saudi Arabia
212.100.192.0/19,Asia,Saudi Arabia
212.102.0.0/19,Asia,Saudi Arabia
212.107.96.0/19,Asia,Saudi Arabia
212.116.192.0/20,Asia,Saudi Arabia
212.116.208.0/21,Asia,Saudi Arabia
212.116.216.0/23,Asia,Saudi Arabia
212.116.218.0/24,Asia,Saudi Arabia
212.116.219.0/25,Asia,Saudi Arabia
212.116.219.128/28,Asia,Saudi Arabia
212.116.219.144/29,Asia,Saudi Arabia
212.116.219.152/31,Asia,Saudi Arabia
212.116.219.155/32,Asia,Saudi Arabia
212.116.219.156/30,Asia,Saudi Arabia
212.116.219.160/27,Asia,Saudi Arabia
212.116.219.192/26,Asia,Saudi Arabia
212.116.220.0/22,Asia,Saudi Arabia
212.118.96.0/19,Asia,Saudi Arabia
212.118.128.0/19,Asia,Saudi Arabia
212.119.64.0/19,Asia,Saudi Arabia
212.138.0.0/16,Asia,Saudi Arabia
212.162.128.0/19,Asia,Saudi Arabia
212.215.128.0/17,Asia,Saudi Arabia
213.5.168.0/21,Asia,Saudi Arabia
213.136.192.0/19,Asia,Saudi Arabia
213.165.32.0/19,Asia,Saudi Arabia
213.166.128.0/19,Asia,Saudi Arabia
213.181.160.0/19,Asia,Saudi Arabia
213.184.160.0/19,Asia,Saudi Arabia
213.210.192.0/18,Asia,Saudi Arabia
213.230.0.0/19,Asia,Saudi Arabia
213.236.32.0/19,Asia,Saudi Arabia
216.128.46.0/24,Asia,Saudi Arabia
216.241.47.192/29,Asia,Saudi Arabia
217.8.64.0/20,Asia,Saudi Arabia
217.12.224.0/20,Asia,Saudi Arabia
217.145.240.0/20,Asia,Saudi Arabia
217.173.80.0/20,Asia,Saudi Arabia
2.144.0.0/14,Asia,Iran
2.176.0.0/12,Asia,Iran
5.22.0.0/17,Asia,Iran
5.22.192.0/19,Asia,Iran
5.23.112.0/21,Asia,Iran
5.28.32.0/21,Asia,Iran
5.34.192.0/19,Asia,Iran
5.52.0.0/16,Asia,Iran
5.53.32.0/19,Asia,Iran
5.56.128.0/22,Asia,Iran
5.57.32.0/21,Asia,Iran
5.61.24.0/23,Asia,Iran
